,"Gini coefficient, gross income of income recipients, series 1","Gini coefficient, gross family income, series 2","Gini coefficient, equivalised household gross income",Share of top 1 per cent in gross income (*),Share of top 0.1 per cent in gross income (*),Per cent living below official poverty line,Per cent living in households below 50 per cent of median,"Earnings at top decile as % median, series 1 (RH scale) (*)","Earnings at top decile as % median, series 2 (RH scale) (*)",Share of top 1 per cent (estate data: individuals) (*),Share of top 1 per cent (survey data: households) (*)
1900,,,,,,,,,,,
1901,,,,,,,,,,,
1902,,,,,,,,,,,
1903,,,,,,,,,,,
1904,,,,,,,,,,,
1905,,,,,,,,,,,
1906,,,,,,,,,,,
1907,,,,,,,,,,,
1908,,,,,,,,,,,
1909,,,,,,,,,,,
1910,,,,,,,,,,,
1911,,,,,,,,,,,
1912,,,,,,,,,,,
1913,,,,17.96004186,8.616608171,,,,,,
1914,,,,18.15794106,8.603340891,,,,,,
1915,,,,17.577725,9.21885,,,,,,
1916,,,,18.57306678,9.86653043,,,,,38.12,
1917,,,,17.59948746,8.357880848,,,,,35.58,
1918,39.52,,,15.88322044,6.74116426,,,,,36.80,
1919,,,,15.86741485,6.453978848,,,,,39.93,
1920,,,,14.45904206,5.371433034,,,,,37.61,
1921,,,,15.47292999,5.602165008,,,,,35.22,
1922,,,,16.29231949,6.168528205,,,,,36.02,
1923,,,,14.99100468,5.503865225,,,,,35.22,
1924,,,,16.31590687,6.140128496,,,,,36.70,
1925,,,,17.60280659,6.75202918,,,,,36.02,
1926,,,,18.01149701,7.068173773,,,,,35.15,
1927,,,,18.67888575,7.472605891,,,,,39.21,
1928,,,,19.59871796,8.191662271,,,,,36.50,
1929,47.35,50,,18.41790429,7.621860844,,,,,36.76,
1930,,,,16.42281842,6.401723032,,,,,40.29,
1931,,,,15.27059404,5.675144534,,,,,34.70,
1932,,,,15.47846763,5.896224496,,,,,28.40,
1933,,,,15.77091318,6.05447825,,,,,30.31,
1934,,,,15.86818508,5.823680629,,,,,28.09,
1935,,,,15.62831199,5.796871856,,,,,27.77,
1936,,47.2,,17.63734218,6.687449416,,,,,29.70,
1937,,,,16.45043429,6.161181787,,,,,26.97,
1938,,,,14.72938303,5.155720304,,,,,27.06,
1939,,,,15.39303595,5.450964993,,,192.3218337,,25.95,
1940,,,,15.73398807,5.573196208,,,,,25.27,
1941,,44.7,,15.00797838,5.289389221,,,,,25.30,
