Year,Rate
1913.0,0.07
1916.0,0.15
1917.0,0.67
1918.0,0.77
1919.0,0.73
1922.0,0.58
1923.0,0.435
1924.0,0.46
1925.0,0.25
1929.0,0.24
1930.0,0.25
1932.0,0.63
1936.0,0.79
1940.0,0.811
1941.0,0.81
1942.0,0.88
1944.0,0.94
1946.0,0.865
1948.0,0.821
1950.0,0.844
1951.0,0.91
1952.0,0.92
1954.0,0.91
1964.0,0.77
1965.0,0.7
1968.0,0.753
1969.0,0.77
1970.0,0.718
1971.0,0.7
1981.0,0.691
1982.0,0.5
1983.0,0.5
1987.0,0.385
1988.0,0.28
1991.0,0.31
1993.0,0.396
2001.0,0.391
2002.0,0.386
2003.0,0.35
2013.0,0.396
